date,ticker,close,sma200,above_sma200
2024-12-05,1120.SR,60.8667,56.649,1
2024-12-05,1150.SR,23.9167,26.125,0
2024-12-05,1180.SR,33.65,36.2332,0
2024-12-05,1211.SR,52.3,47.9242,1
2024-12-05,2010.SR,68.5,75.89,0
2024-12-05,2082.SR,394.8,393.3458,1
2024-12-05,2222.SR,27.95,28.7515,0
2024-12-05,2380.SR,8.11,7.74,1
2024-12-05,7010.SR,39.9,39.9932,0
2024-12-05,7203.SR,1125.0,976.523,1
2024-12-08,1120.SR,60.3333,56.6503,1
2024-12-08,1150.SR,24.125,26.1005,0
2024-12-08,1180.SR,34.15,36.1928,0
2024-12-08,1211.SR,52.0,47.9248,1
2024-12-08,2010.SR,68.8,75.842,0
2024-12-08,2082.SR,402.0,394.1063,1
2024-12-08,2222.SR,27.95,28.7315,0
2024-12-08,2380.SR,8.11,7.7362,1
2024-12-08,7010.SR,40.25,39.9878,1
2024-12-08,7203.SR,1105.0,977.119,1
2024-12-09,1120.SR,62.8,56.6653,1
2024-12-09,1150.SR,24.2083,26.0752,0
2024-12-09,1180.SR,34.1,36.1542,0
2024-12-09,1211.SR,52.1,47.9302,1
2024-12-09,2010.SR,70.1,75.7995,0
2024-12-09,2082.SR,395.0,394.8249,1
2024-12-09,2222.SR,28.3,28.7132,0
2024-12-09,2380.SR,8.12,7.7326,1
2024-12-09,7010.SR,40.1,39.98,1
2024-12-09,7203.SR,1118.2,977.561,1
2024-12-10,1120.SR,63.0667,56.6823,1
2024-12-10,1150.SR,24.3333,26.0509,0
2024-12-10,1180.SR,34.45,36.1168,0
2024-12-10,1211.SR,53.2,47.9418,1
2024-12-10,2010.SR,70.1,75.755,0
2024-12-10,2082.SR,396.0,395.5514,1
2024-12-10,2222.SR,28.65,28.6968,0
2024-12-10,2380.SR,8.16,7.7288,1
2024-12-10,7010.SR,40.6,39.9752,1
2024-12-10,7203.SR,1133.4,978.088,1
2024-12-11,1120.SR,62.8,56.6963,1
2024-12-11,1150.SR,24.1667,26.025,0
2024-12-11,1180.SR,34.3,36.081,0
2024-12-11,1211.SR,54.0,47.9597,1
2024-12-11,2010.SR,69.5,75.7075,0
2024-12-11,2082.SR,383.2,396.17,0
2024-12-11,2222.SR,28.55,28.6798,0
2024-12-11,2380.SR,8.4,7.7255,1
2024-12-11,7010.SR,40.4,39.9685,1
2024-12-11,7203.SR,1129.0,978.564,1
2024-12-12,1120.SR,62.0667,56.7043,1
2024-12-12,1150.SR,24.1667,25.9984,0
2024-12-12,1180.SR,34.1,36.0443,0
2024-12-12,1211.SR,52.8,47.9688,1
2024-12-12,2010.SR,68.7,75.655,0
2024-12-12,2082.SR,381.4,396.8045,0
2024-12-12,2222.SR,28.45,28.6638,0
2024-12-12,2380.SR,8.25,7.722,1
2024-12-12,7010.SR,40.9,39.959,1
2024-12-12,7203.SR,1134.0,978.834,1
2024-12-15,1120.SR,61.8667,56.7117,1
2024-12-15,1150.SR,24.0417,25.9703,0
2024-12-15,1180.SR,33.9,36.0028,0
2024-12-15,1211.SR,52.9,47.9792,1
2024-12-15,2010.SR,68.8,75.602,0
