date,ticker,close,avg_traded_value_20d,liquid,rs_63d,rs_126d,volume_expansion,distance_52w_high,score,rank
2020-06-30,1180.SR,27.9375,112096558.27,True,0.090776,-0.245187,0.650216,-0.357759,0.328571,7
2020-07-01,7010.SR,39.36,88714674.34,True,0.184116,-0.033399,0.351254,-0.129204,0.816667,1
2020-07-01,2010.SR,88.1,4705468194.08,True,0.286131,-0.061768,0.017955,-0.231239,0.733333,2
2020-07-01,1211.SR,11.6167,24138764.54,True,0.14076,-0.215088,0.69492,-0.3016,0.6,3
2020-07-01,1120.SR,23.7917,355279858.7,True,0.038182,-0.12691,0.596685,-0.211326,0.583333,4
2020-07-01,1150.SR,9.72,181616786.11,True,-0.025075,-0.233136,0.8247,-0.263636,0.433333,5
2020-07-01,1180.SR,27.825,108046446.96,True,0.078488,-0.246701,0.504943,-0.360345,0.333333,6
2020-07-02,7010.SR,39.4,86043217.2,True,0.185319,-0.022817,0.623721,-0.128319,0.85,1
2020-07-02,2010.SR,89.2,4699028760.24,True,0.29463,-0.04189,0.021147,-0.22164,0.733333,2
2020-07-02,1211.SR,11.8667,23408532.42,True,0.184692,-0.191823,0.767463,-0.28657,0.633333,3
2020-07-02,1120.SR,23.9583,347846312.33,True,0.070762,-0.116745,0.618466,-0.205803,0.516667,4
2020-07-02,1150.SR,9.7067,179531503.99,True,-0.027385,-0.232672,0.765525,-0.264644,0.4,5
2020-07-02,1180.SR,27.9,104005047.11,True,0.097345,-0.235355,0.636401,-0.358621,0.366667,6
2020-07-05,7010.SR,39.6,87537575.97,True,0.131429,-0.023669,0.816986,-0.123894,0.833333,1
2020-07-05,2010.SR,89.3,4694052565.13,True,0.275714,-0.043897,0.010115,-0.220768,0.733333,2
2020-07-05,1120.SR,24.1667,342452664.03,True,0.078067,-0.118541,0.848684,-0.198895,0.666667,3
2020-07-05,1211.SR,12.05,22871252.46,True,0.166133,-0.17934,0.564565,-0.27555,0.583333,4
2020-07-05,1150.SR,9.8267,185794441.2,True,-0.055125,-0.224718,1.709486,-0.255553,0.433333,5
2020-07-05,1180.SR,27.9375,104116025.2,True,0.073487,-0.23668,0.45083,-0.357759,0.25,6
